"(x + 0,1)⋅(x - 0,1)","x² - 0,01"
"x² - 0,36","(x + 0,6)⋅(x - 0,6)"
(x + 13)⋅(x - 13),x² - 169
"(x + 1,2)²","x² + 2,4x + 1,44"
"(x - 0,1)²","x² - 0,2x + 0,01"
"x² - 1,2x + 0,36","(x - 0,6)²"
(x + 8)²,x² + 16x + 64
(x + 3)²,x² + 6x + 9
(x + 10)⋅(x - 10),x² - 100
x² - 49,(x + 7)⋅(x - 7)
x² - 121,(x + 11)⋅(x - 11)
"x² - 2,4x + 1,44","(x - 1,2)²"
"(x + 0,4)²","x² + 0,8x + 0,16"
"(x - 0,3)²","x² - 0,6x + 0,09"
"(x + 0,2)²","x² + 0,4x + 0,04"
"x² - 0,49","(x + 0,7)⋅(x - 0,7)"
"x² - 0,25","(x + 0,5)⋅(x - 0,5)"
"(x + 0,3)⋅(x - 0,3)","x² - 0,09"
(x - 3)²,x² - 6x + 9
x² + 22x + 121,(x + 11)²
x² + 30x + 225,(x + 15)²
(x - 10)²,x² - 20x + 100
"x² - 0,09","(x + 0,3)⋅(x - 0,3)"
"x² + 1,4x + 0,49","(x + 0,7)²"
(x + 9)⋅(x - 9),x² - 81
"x² + 0,8x + 0,16","(x + 0,4)²"
(x + 14)⋅(x - 14),x² - 196
(x + 2)⋅(x - 2),x² - 4
x² + 2x + 1,(x + 1)²
x² - 36,(x + 6)⋅(x - 6)
x² + 2x + 1,(x + 1)²
(x + 9)⋅(x - 9),x² - 81
(x + 9)²,x² + 18x + 81
(x + 8)⋅(x - 8),x² - 64
"x² - 2,4x + 1,44","(x - 1,2)²"
(x + 11)²,x² + 22x + 121
(x - 1)²,x² - 2x + 1
"x² - 1,8x + 0,81","(x - 0,9)²"
"x² - 0,09","(x + 0,3)⋅(x - 0,3)"
x² - 169,(x + 13)⋅(x - 13)
x² - 196,(x + 14)⋅(x - 14)
(x + 3)⋅(x - 3),x² - 9
"x² - 2,2x + 1,21","(x - 1,1)²"
(x - 11)²,x² - 22x + 121
(x + 2)⋅(x - 2),x² - 4
"x² - 2,2x + 1,21","(x - 1,1)²"
"(x + 0,4)²","x² + 0,8x + 0,16"
(x - 8)²,x² - 16x + 64
(x - 7)²,x² - 14x + 49
x² - 16,(x + 4)⋅(x - 4)
(x + 5)²,x² + 10x + 25
"(x + 0,1)⋅(x - 0,1)","x² - 0,01"
(x - 9)²,x² - 18x + 81
"(x - 0,9)²","x² - 1,8x + 0,81"
x² + 24x + 144,(x + 12)²
(x - 2)²,x² - 4x + 4
x² + 16x + 64,(x + 8)²
"x² + 1,4x + 0,49","(x + 0,7)²"
"(x + 0,6)²","x² + 1,2x + 0,36"
"(x + 0,9)⋅(x - 0,9)","x² - 0,81"
x² - 9,(x + 3)⋅(x - 3)
x² + 28x + 196,(x + 14)²
"x² - x + 0,25","(x - 0,5)²"
"x² + 1,6x + 0,64","(x + 0,8)²"
"x² - 0,09","(x + 0,3)⋅(x - 0,3)"
x² - 100,(x + 10)⋅(x - 10)
(x + 4)²,x² + 8x + 16
x² - 22x + 121,(x - 11)²
x² - 12x + 36,(x - 6)²
(x + 14)²,x² + 28x + 196
(x - 3)²,x² - 6x + 9
"(x + 0,9)⋅(x - 0,9)","x² - 0,81"
"(x - 0,2)²","x² - 0,4x + 0,04"
"x² - x + 0,25","(x - 0,5)²"
(x - 8)²,x² - 16x + 64
(x + 13)²,x² + 26x + 169
x² - 1,(x + 1)⋅(x - 1)
(x + 11)²,x² + 22x + 121
x² + 30x + 225,(x + 15)²
(x - 14)²,x² - 28x + 196
"(x - 1,1)²","x² - 2,2x + 1,21"
(x + 3)⋅(x - 3),x² - 9
(x + 14)⋅(x - 14),x² - 196
(x - 14)²,x² - 28x + 196
"(x + 0,9)²","x² + 1,8x + 0,81"
(x + 9)⋅(x - 9),x² - 81
x² - 16,(x + 4)⋅(x - 4)
"(x + 0,4)²","x² + 0,8x + 0,16"
x² - 144,(x + 12)⋅(x - 12)
"(x + 0,5)²","x² + x + 0,25"
(x + 2)²,x² + 4x + 4
(x + 9)²,x² + 18x + 81
x² - 64,(x + 8)⋅(x - 8)
(x + 1)²,x² + 2x + 1
x² - 18x + 81,(x - 9)²
"(x - 0,2)²","x² - 0,4x + 0,04"
x² - 14x + 49,(x - 7)²
x² - 16,(x + 4)⋅(x - 4)
x² - 22x + 121,(x - 11)²
"x² + 1,4x + 0,49","(x + 0,7)²"
(x + 7)⋅(x - 7),x² - 49
"x² + 0,4x + 0,04","(x + 0,2)²"
x² - 36,(x + 6)⋅(x - 6)
x² - 144,(x + 12)⋅(x - 12)
(x - 7)²,x² - 14x + 49
(x + 2)²,x² + 4x + 4
(x + 5)⋅(x - 5),x² - 25
(x + 14)²,x² + 28x + 196
"(x + 1,2)⋅(x - 1,2)","x² - 1,44"
"x² - 0,16","(x + 0,4)⋅(x - 0,4)"
(x + 4)⋅(x - 4),x² - 16
"(x + 0,7)⋅(x - 0,7)","x² - 0,49"
"(x + 0,3)⋅(x - 0,3)","x² - 0,09"
"x² + 1,4x + 0,49","(x + 0,7)²"
"x² + 0,8x + 0,16","(x + 0,4)²"
x² - 225,(x + 15)⋅(x - 15)
x² - 4,(x + 2)⋅(x - 2)
(x - 12)²,x² - 24x + 144
"x² - 2,4x + 1,44","(x - 1,2)²"
"(x - 0,4)²","x² - 0,8x + 0,16"
(x - 4)²,x² - 8x + 16
(x - 9)²,x² - 18x + 81
x² - 196,(x + 14)⋅(x - 14)
x² - 16x + 64,(x - 8)²
"(x + 0,8)²","x² + 1,6x + 0,64"
(x + 14)⋅(x - 14),x² - 196
(x - 4)²,x² - 8x + 16
(x - 3)²,x² - 6x + 9
(x - 6)²,x² - 12x + 36
(x - 4)²,x² - 8x + 16
x² + 10x + 25,(x + 5)²
(x - 4)²,x² - 8x + 16
"(x + 0,4)²","x² + 0,8x + 0,16"
"(x - 0,4)²","x² - 0,8x + 0,16"
(x + 7)²,x² + 14x + 49
"x² + 2,4x + 1,44","(x + 1,2)²"
x² - 12x + 36,(x - 6)²
(x + 14)²,x² + 28x + 196
"x² + 0,6x + 0,09","(x + 0,3)²"
"(x - 0,7)²","x² - 1,4x + 0,49"
(x + 14)²,x² + 28x + 196
x² - 14x + 49,(x - 7)²
(x + 2)²,x² + 4x + 4
x² - 26x + 169,(x - 13)²
"(x + 0,6)²","x² + 1,2x + 0,36"
x² - 144,(x + 12)⋅(x - 12)
"x² + 1,6x + 0,64","(x + 0,8)²"
"(x + 0,3)⋅(x - 0,3)","x² - 0,09"
"x² - 0,04","(x + 0,2)⋅(x - 0,2)"
"(x - 0,3)²","x² - 0,6x + 0,09"
(x + 6)⋅(x - 6),x² - 36
(x - 1)²,x² - 2x + 1
